PNAME,Island,Area Council,Village_Name,Male,Female,Totpop,HH,X,Y,,
MALAMPA,Paama,Paama,Luli,39,39,78,22,-16.448104,168.255042,,
MALAMPA,Paama,Paama,Nou,19,23,42,11,-16.460863,168.220429,,
MALAMPA,Paama,Paama,Oailep,48,39,87,18,0,0,,
MALAMPA,Paama,Paama,Tahal Nesa,35,29,64,11,-16.493209,168.213575,,
MALAMPA,Paama,Paama,Tahal Netan,21,25,46,8,-16.500534,168.215113,,
MALAMPA,Paama,Paama,Tahi,34,43,77,22,-16.468353,168.221984,,
MALAMPA,Paama,Paama,Tavie,49,31,80,22,-16.433698,168.236069,,
MALAMPA,Paama,Paama,Tavulai,37,41,78,21,0,0,,
MALAMPA,Paama,Paama,Tevali,28,36,64,14,-16.472551,168.22842,,
MALAMPA,Paama,Paama,Tevali Aot,20,36,56,17,-16.478724,168.23486,,
MALAMPA,Paama,Paama,Vaoleli,105,104,209,51,-16.490987,168.218887,,
MALAMPA,Paama,Paama,Vutekai,24,21,45,10,-16.503414,168.217001,,
