Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Critical,TotalTests,Continent,date
Sierra Leone,606,,38,,230,338,,,Africa,24-May-2020
Nepal,584,+68,3,,70,511,1,"132,195",Asia,24-May-2020
South Sudan,563,,6,,6,551,,"3,356",Africa,24-May-2020
Channel Islands,558,,45,,508,5,,"5,342",Europe,24-May-2020
Jamaica,544,+10,9,,191,344,,"9,554",North America,24-May-2020
Tanzania,509,,21,,183,305,7,,Africa,24-May-2020
Ethiopia,494,+61,5,,151,338,,"76,962",Africa,24-May-2020
Madagascar,488,+40,2,,138,348,4,"5,670",Africa,24-May-2020
CAR,479,,,,18,461,,"11,570",Africa,24-May-2020
Congo,469,,16,,137,316,,,Africa,24-May-2020
Réunion,452,+3,1,,411,40,2,"17,200",Africa,24-May-2020
Taiwan,441,,7,,411,23,,"70,526",Asia,24-May-2020
Palestine,423,,3,+1,346,74,,"44,876",Asia,24-May-2020
Cabo Verde,371,+9,3,,142,226,,"1,307",Africa,24-May-2020
Togo,363,,12,,121,230,,"14,767",Africa,24-May-2020
Isle of Man,336,,24,,303,9,2,"4,393",Europe,24-May-2020
Mauritius,332,,10,,322,0,,"101,052",Africa,24-May-2020
Montenegro,324,,9,,314,1,,"10,167",Europe,24-May-2020
Vietnam,324,,,,267,57,2,"275,000",Asia,24-May-2020
Rwanda,321,,,,222,99,,"55,968",Africa,24-May-2020
Nicaragua,279,,17,,199,63,,,North America,24-May-2020
French Guiana,261,,1,,141,119,,,South America,24-May-2020
Liberia,255,+6,26,+2,136,93,,,Africa,24-May-2020
Sao Tome and Principe,251,,8,,4,239,,175,Africa,24-May-2020
Eswatini,225,,2,,119,104,,"4,994",Africa,24-May-2020
Yemen,209,,33,,11,165,,120,Asia,24-May-2020
Myanmar,201,+2,6,,116,79,,"17,152",Asia,24-May-2020
Mauritania,200,,6,,7,187,,"2,583",Africa,24-May-2020
Martinique,197,,14,,91,92,,,North America,24-May-2020
Faeroe Islands,187,,,,187,0,,"9,084",Europe,24-May-2020
Uganda,175,,,,68,107,,"83,788",Africa,24-May-2020
Mozambique,168,+4,,,48,120,,"7,947",Africa,24-May-2020
Guadeloupe,156,,13,,115,28,3,"3,573",North America,24-May-2020
Gibraltar,151,,,,147,4,,"6,101",Europe,24-May-2020
Brunei,141,,1,,136,4,2,"18,411",Asia,24-May-2020
Mongolia,141,,,,30,111,27,"12,341",Asia,24-May-2020
Benin,135,,3,,61,71,,"26,792",Africa,24-May-2020
Cayman Islands,129,,1,,61,67,,"8,426",North America,24-May-2020
Bermuda,128,,9,,81,38,2,"6,133",North America,24-May-2020
Guyana,127,,10,,57,60,3,"1,366",South America,24-May-2020
Cambodia,124,+1,,,122,2,1,"16,007",Asia,24-May-2020
Trinidad and Tobago,116,,8,,108,0,,"2,866",North America,24-May-2020
Aruba,101,,3,,95,3,4,"2,061",North America,24-May-2020
Bahamas,97,,11,,44,42,1,"1,910",North America,24-May-2020
Monaco,97,,4,,90,3,1,,Europe,24-May-2020
Barbados,90,,7,,70,13,4,"4,541",North America,24-May-2020
Malawi,82,,3,,28,51,1,"2,411",Africa,24-May-2020
Liechtenstein,82,,1,,55,26,,900,Europe,24-May-2020
Comoros,78,,1,,18,59,,,Africa,24-May-2020
Sint Maarten,77,,15,,59,3,1,437,North America,24-May-2020
Libya,72,,3,,38,31,,"4,351",Africa,24-May-2020
Syria,70,+11,4,,37,29,,,Asia,24-May-2020
Angola,60,,3,,17,40,,"6,136",Africa,24-May-2020
French Polynesia,60,,,,60,0,,"3,873",Australia/Oceania,24-May-2020
Zimbabwe,51,,4,,18,29,,"28,019",Africa,24-May-2020
Macao,45,,,,45,0,,,Asia,24-May-2020
Burundi,42,,1,,20,21,,284,Africa,24-May-2020
Saint Martin,40,,3,,33,4,1,,North America,24-May-2020
Eritrea,39,,,,39,0,,,Africa,24-May-2020
Botswana,30,,1,,19,10,,"16,100",Africa,24-May-2020
Antigua and Barbuda,25,,3,,19,3,1,183,North America,24-May-2020
Gambia,25,,1,,13,11,,"1,476",Africa,24-May-2020
Bhutan,24,+3,,,6,18,,"15,293",Asia,24-May-2020
Timor-Leste,24,,,,24,0,,738,Asia,24-May-2020
Grenada,22,,,,17,5,4,"3,007",North America,24-May-2020
Namibia,20,+1,,,14,6,,"2,847",Africa,24-May-2020
Laos,19,,,,14,5,,"5,194",Asia,24-May-2020
Belize,18,,2,,16,0,,"1,435",North America,24-May-2020
Fiji,18,,,,15,3,,"1,300",Australia/Oceania,24-May-2020
New Caledonia,18,,,,18,0,,"5,454",Australia/Oceania,24-May-2020
Saint Lucia,18,,,,18,0,,867,North America,24-May-2020
St. Vincent Grenadines,18,,,,14,4,,175,North America,24-May-2020
Curaçao,16,,1,,14,1,,504,North America,24-May-2020
Dominica,16,,,,16,0,,433,North America,24-May-2020
Saint Kitts and Nevis,15,,,,15,0,,391,North America,24-May-2020
